FLIGHT,DESTGEO,BAREA,STRATA,PEAK,DEPTIME,ARRTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q4BAGS,Q4STORE,Q4FOOD,Q8COM1,Q8COM2,Q8COM3,HOME,Q17COUNTRY,Q18AGE,Q19GENDER,Q21FLY,WEIGHT
871,8,G,2,3,0.569444444,0.395833333,250,1,2,,1,1,2,,,,1,US,5,1,2,0.725279
871,8,G,2,3,0.569444444,0.451388889,170,2,,,1,2,2,,,,1,US,1,2,2,0.725279
871,8,G,2,3,0.569444444,0.489583333,115,1,,,2,2,2,,,,12,US,6,1,2,0.725279
871,8,G,2,3,0.569444444,0.375,280,1,,,2,2,1,,,,10,US,3,1,2,0.725279
871,8,G,2,3,0.569444444,0.440972222,185,1,,,2,1,1,,,,12,US,3,1,1,0.725279
871,8,G,2,3,0.569444444,0.4375,190,3,,,1,1,2,,,,3,US,2,2,2,0.725279
871,8,G,2,3,0.569444444,0.458333333,160,1,,,1,2,1,602,,,5,US,5,1,2,0.725279
871,8,G,2,3,0.569444444,0.486111111,120,3,,,2,2,1,,,,11,US,1,2,3,0.725279
871,8,G,2,3,0.569444444,0.5625,10,3,,,1,2,1,,,,12,US,1,2,3,0.725279
871,8,G,2,3,0.569444444,0.395833333,250,3,,,1,0,1,,,,12,US,7,1,2,0.725279
871,8,G,2,3,0.569444444,0.395833333,250,4,,,0,0,1,,,,99,,2,2,1,0.725279
871,8,G,2,3,0.569444444,0.402777778,240,2,3,,1,2,1,505,,,12,US,6,2,2,0.725279
871,8,G,2,3,0.569444444,0.402777778,240,3,,,1,1,1,,,,11,US,6,2,1,0.725279
871,8,G,2,3,0.569444444,0.479166667,130,1,,,1,1,2,,,,16,TAIWAN,3,2,2,0.725279
871,8,G,2,3,0.569444444,0.458333333,160,2,,,1,1,1,,,,11,US,4,2,0,0.725279
871,8,G,2,3,0.569444444,0.447916667,175,4,,,2,2,1,,,,99,,3,1,2,0.725279
6418,1,F,2,2,0.680555556,0.554166667,182,2,,,2,2,1,802,,,10,US,1,2,1,2.167946
6418,1,F,2,2,0.680555556,0.5625,170,2,3,,0,0,0,301,,,10,US,3,2,1,2.167946
6418,1,F,2,2,0.680555556,0.541666667,200,1,,,1,1,2,,,,10,US,4,2,2,2.167946
6418,1,F,2,2,0.680555556,0.569444444,160,1,,,2,1,1,20,609,,10,US,5,1,1,2.167946
6418,1,F,2,2,0.680555556,0.479166667,290,1,,,2,1,1,,,,10,US,6,1,2,2.167946
6418,1,F,2,2,0.680555556,0.458333333,320,2,,,1,2,1,,,,10,US,3,2,2,2.167946
6418,1,F,2,2,0.680555556,0.572916667,155,2,,,1,1,1,405,31,,7,US,6,2,1,2.167946
6418,1,F,2,2,0.680555556,0.569444444,160,2,,,1,1,2,999,,,10,US,4,2,2,2.167946
6418,1,F,2,2,0.680555556,0.520833333,230,2,,,2,2,1,,,,10,US,5,2,2,2.167946
6418,1,F,2,2,0.680555556,0.458333333,320,2,,,2,2,1,,,,10,US,6,2,2,2.167946
6418,1,F,2,2,0.680555556,0.597222222,120,3,,,2,2,2,,,,10,US,4,2,3,2.167946
6418,1,F,2,2,0.680555556,0.604166667,110,2,,,1,1,1,,,,10,US,2,1,2,2.167946
6418,1,F,2,2,0.680555556,0.583333333,140,3,,,2,1,1,,,,1,US,2,2,2,2.167946
6418,1,F,2,2,0.680555556,0.577083333,149,1,,,2,1,1,319,,,10,US,4,1,2,2.167946
6418,1,F,2,2,0.680555556,0.541666667,200,3,,,2,2,2,,,,11,US,3,2,2,2.167946
6418,1,F,2,2,0.680555556,0.604166667,110,0,,,2,1,2,,,,10,US,2,2,2,2.167946
15,8,G,2,3,0.586805556,0.479166667,155,3,,,2,2,2,,,,1,US,3,1,2,0.669478
