GATE,BAREA,TERMINAL,STRATA,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,GETTO1,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
70,F,,2,33,,5604,14,,4,9:30,11:16,2,4,1,1,2,2,2,,13,,5,1,4,,
70,F,,2,33,,5604,14,,4,8:30,11:16,1,4,1,1,2,1,2,,13,,3,2,3,,
70,F,,2,33,,5604,14,,4,8:30,11:16,2,9,1,1,2,1,2,,13,,6,1,4,,
70,F,,2,33,,5604,14,,4,9:55,11:16,2,3,2,2,2,2,2,,13,,2,1,2,,
70,F,,2,33,,5604,14,,4,9:00,11:16,2,6,1,2,2,1,2,,13,,5,2,0,,
70,F,,2,33,,5604,14,,4,7:00,11:16,2,3,2,2,2,1,2,,13,,6,2,0,,
70,F,,2,33,,5604,14,,4,9:00,11:16,2,9,1,2,2,2,2,,13,,6,2,0,,
86,F,,2,32,,712,41,,1,10:30,14:10,2,3,2,2,1,1,2,,13,,5,2,0,,
29,B,,1,34,,1466,70,,2,5:00,6:15,3,2,2,2,2,2,2,,13,,4,2,2,,
90,F,,1,32,,1428,50,,1,7:45,10:05,3,5,2,2,2,1,2,,13,,2,2,0,,
83,F,,2,32,,425,25,,1,11:45,13:00,2,3,2,2,2,1,2,,13,,3,1,2,,
73,F,,3,32,,343,39,,3,16:43,18:29,4,8,1,1,1,2,2,,13,,2,2,0,,
20,B,,1,8,,307,86,,1,8:15,9:20,3,4,1,2,2,2,2,,13,,6,2,0,,
70,F,,3,32,,6205,96,,1,15:30,21:25,8,3,1,2,1,1,2,,13,,7,1,0,,
2,A,,2,2,,738,95,,4,9:10,11:30,2,7,1,1,2,1,2,,13,,6,1,2,,
2,A,,2,2,,738,95,,4,8:00,11:30,2,13,1,2,2,1,2,,13,,6,2,4,,
2,A,,2,2,,738,95,,4,8:30,11:30,3,2,1,1,2,0,0,,13,,7,2,0,,
2,A,,2,2,,738,95,,4,8:00,11:30,1,2,1,1,2,1,2,,13,,5,0,2,,
2,A,,2,2,,738,95,,4,9:30,11:30,3,2,2,1,1,1,1,,13,,3,2,0,,
2,A,,2,2,,738,95,,4,9:10,11:30,3,2,1,1,2,2,2,,13,,7,2,2,,
2,A,,2,2,,738,95,,4,9:15,11:30,2,4,1,2,1,1,2,,13,,6,2,2,,
2,A,,2,2,,738,95,,4,8:30,11:30,2,9,1,2,2,1,2,,13,,5,1,2,,
2,A,,2,2,,738,95,,4,10:00,11:30,2,9,1,2,1,1,2,,13,,4,1,4,,
2,A,,2,2,,738,95,,4,9:00,11:30,1,9,1,2,2,1,2,,13,,3,2,2,,
2,A,,2,2,,738,95,,4,9:00,11:30,5,9,1,1,1,1,2,,13,,5,2,2,,
2,A,,2,2,,738,95,,4,9:30,11:30,2,5,1,1,1,1,2,,13,,6,1,0,,
2,A,,2,2,,738,95,,4,9:00,11:30,2,4,1,1,2,1,2,,13,,7,2,0,,
2,A,,2,2,,738,95,,4,8:00,11:30,3,3,0,1,1,1,2,,13,,6,2,2,,
4,A,,2,2,,784,95,,4,14:00,15:35,2,9,1,1,2,2,2,,13,,6,2,1,,
4,A,,2,2,,784,95,,4,14:05,15:35,3,2,1,2,1,2,2,,13,,7,2,1,,
4,A,,2,2,,784,95,,4,13:00,15:35,2,2,1,1,2,2,2,,13,,2,2,0,,
4,A,,2,2,,784,95,,4,11:00,15:35,2,3,1,1,2,1,2,,13,,7,2,3,,
4,A,,2,2,,784,95,,4,11:30,15:35,2,9,1,1,2,1,2,,13,,6,0,4,,
4,A,,2,2,,784,95,,4,12:30,15:35,3,2,1,1,1,2,2,,13,,2,2,2,,
4,A,,2,2,,784,95,,4,10:45,15:35,11,3,1,2,1,1,1,,13,,5,2,1,,
4,A,,2,2,,784,95,,4,13:30,15:35,1,4,1,2,2,2,2,,13,,4,2,0,,
4,A,,2,2,,784,95,,4,11:30,15:35,8,3,1,2,2,1,2,,13,,3,1,1,,
4,A,,2,2,,784,95,,4,10:45,15:35,8,3,1,2,1,1,1,,13,,3,1,2,,
4,A,,2,2,,784,95,,4,12:30,15:35,2,4,1,1,1,1,2,,13,,6,2,2,,
4,A,,2,2,,784,95,,4,14:00,15:35,2,2,1,1,2,0,0,,13,,7,1,3,,
4,A,,2,2,,784,95,,4,12:30,15:35,3,2,1,1,1,1,2,,13,,7,2,1,,
4,A,,2,2,,784,95,,4,14:00,15:35,1,9,2,2,1,2,2,,13,,4,1,4,,
11,A,,3,21,,648,60,,2,18:30,21:00,2,4,1,1,2,1,2,,13,,2,2,3,,
70,F,,3,33,,6414,14,,4,18:30,20:10,2,3,2,1,2,2,2,,13,,6,1,4,,
70,F,,3,33,,6414,14,,4,18:30,20:10,2,3,2,2,2,1,2,,13,,5,1,4,,
70,F,,3,33,,6414,14,,4,17:45,20:10,3,1,1,2,2,1,2,,13,,1,2,4,,
70,F,,3,33,,6414,14,,4,18:35,20:10,2,3,2,2,2,1,2,,13,,7,1,1,,
70,F,,3,33,,6414,14,,4,17:00,20:10,2,5,1,1,2,1,2,,13,,2,2,3,,
70,F,,3,33,,6414,14,,4,18:35,20:10,2,3,0,0,2,1,2,,13,,7,2,0,,
70,F,,3,33,,6414,14,,4,19:00,20:10,3,2,2,1,2,2,2,,13,,3,2,3,,
70,F,,3,33,,6414,14,,4,19:30,20:10,2,3,1,1,2,1,2,,13,,4,2,2,,
70,F,,3,33,,6414,14,,4,17:45,20:10,2,6,1,1,2,1,2,,13,,7,1,1,,
70,F,,3,33,,6414,14,,4,18:30,20:10,2,3,2,2,2,1,2,,13,,3,1,2,,
70,F,,3,33,,6414,14,,4,17:00,20:10,2,5,1,2,1,1,2,,13,,5,2,3,,
70,F,,3,33,,6414,14,,4,18:30,20:10,2,3,1,2,1,1,0,,13,,3,2,0,,
70,F,,3,33,,6414,14,,4,11:10,20:10,2,3,1,2,1,1,1,,13,,3,1,2,,
70,F,,3,33,,6414,14,,4,17:00,20:10,1,5,1,1,2,2,2,,13,,5,2,2,,
70,F,,3,33,,6414,14,,4,18:00,20:10,1,3,2,2,1,1,2,,13,,5,2,2,,
70,F,,3,33,,6414,14,,4,18:00,20:10,2,9,1,2,2,1,2,,13,,5,1,3,,
78,F,,2,32,,5291,19,,1,11:08,16:50,3,3,2,1,1,1,2,,13,,7,2,2,,
24,B,,1,8,,303,86,,1,8:45,10:10,2,6,1,1,2,1,2,,13,,7,0,2,,
70,F,,2,33,,5604,14,,4,8:30,11:16,1,3,2,2,1,1,2,,13,,3,1,4,,
4,A,,3,12,,286,48,,6,16:30,18:55,3,2,1,2,2,1,2,,15,,7,2,0,,
73,F,,3,32,,343,39,,3,17:00,18:29,4,2,1,1,2,2,2,,13,,3,2,2,,
73,F,,3,32,,343,39,,3,17:00,18:29,4,2,1,1,1,2,2,,13,,3,2,2,,
96,G,,3,33,,429,52,,4,21:00,23:21,6,3,2,2,1,1,2,,13,,3,1,4,,
96,G,,3,33,,429,52,,4,21:15,23:21,1,3,2,2,2,2,2,,13,,4,1,4,,
28,B,,2,34,,239,71,,1,12:30,15:40,2,9,1,2,2,1,2,,13,,4,2,2,,
20,B,,1,8,,385,73,,1,6:00,7:00,1,7,0,0,2,1,2,,13,,5,1,0,,
98,G,,1,33,,807,74,,4,8:45,10:00,2,3,2,2,2,2,2,,13,,6,1,0,,
22,B,,3,8,,317,86,,1,18:15,19:40,2,3,1,2,2,2,2,,13,,6,2,2,,
40,C,,2,15,,2080,4,,2,10:00,11:50,3,2,1,1,2,2,1,,14,,2,2,1,,
55,D,,2,9,,332,24,,3,11:00,13:35,1,4,1,2,1,1,2,,14,,4,1,0,,
55,D,,2,9,,332,24,,3,11:00,13:35,5,5,1,1,1,1,1,,14,,4,1,1,,
4,A,,2,24,,2609,47,,5,9:00,12:45,2,4,1,2,1,2,2,,14,,6,0,3,,
4,A,,2,24,,2609,47,,5,9:00,12:45,2,4,1,2,1,2,1,,14,,3,1,4,,
44,C,,3,15,,4798,50,,1,17:00,19:50,2,4,1,1,2,1,2,,14,,5,1,3,,
2,A,,1,31,,565,83,,5,4:15,6:50,2,7,1,2,2,2,2,,14,,4,1,1,,
91,G,,2,33,,821,52,,4,8:10,12:40,3,3,1,2,1,2,1,,14,,5,2,0,,
56,D,,2,9,,442,53,,2,10:00,12:40,2,3,1,2,2,2,2,,16,,7,2,0,,
87,F,,2,32,,1669,39,,3,11:45,14:36,1,6,1,2,2,1,2,,16,,4,1,4,,
82,F,,1,32,,663,38,,1,8:00,9:10,5,8,1,0,1,0,2,,16,,7,0,3,,
82,F,,1,32,,663,38,,1,8:00,9:10,5,8,1,2,2,2,2,,16,,5,1,2,,
57,D,,1,9,,12,60,,2,7:30,9:05,1,6,1,1,2,1,2,,16,,5,1,3,,
73,F,,2,32,,444,11,,2,14:47,16:03,1,3,2,1,2,2,2,,16,,3,1,2,,
73,F,,2,32,,444,11,,2,15:00,16:03,1,3,2,2,1,2,1,,16,,3,1,1,,
98,G,,2,33,,869,37,,8,10:00,12:52,3,3,2,2,2,1,2,,16,,2,1,1,,
98,G,,2,33,,869,37,,8,11:58,12:52,4,3,1,1,2,1,2,,16,,2,2,1,,
86,F,,2,32,,712,41,,1,11:30,14:10,3,3,2,1,1,1,2,,16,,2,2,1,,
94,G,,2,33,,857,88,,8,8:00,13:16,2,3,2,1,1,1,2,,16,,2,2,0,,
94,G,,2,33,,857,88,,8,11:00,13:16,2,3,2,1,2,2,2,,16,,2,2,0,,
94,G,,2,33,,857,88,,8,N,13:16,2,4,2,2,1,1,2,,16,,3,2,2,,
94,G,,2,33,,857,88,,8,10:00,13:16,3,9,1,2,2,2,2,,16,,3,2,2,,
94,G,,2,33,,857,88,,8,11:30,13:16,3,3,2,2,2,2,2,,16,,2,1,0,,
94,G,,2,33,,857,88,,8,10:30,13:16,8,11,2,2,2,2,2,,16,,2,1,4,,
94,G,,2,33,,857,88,,8,9:50,13:16,1,3,1,1,2,1,2,,16,,3,2,0,,
82,F,,3,32,,274,50,,1,14:50,15:47,1,3,2,2,2,2,2,,16,,4,1,2,,
73,F,,3,32,,343,39,,3,15:00,18:29,1,3,1,2,2,1,2,,16,,2,1,0,,
51,D,,2,35,,932,50,,1,N,15:10,2,2,2,2,2,0,2,,16,,2,2,1,,
96,G,,2,3,,986,9,,8,11:30,14:50,4,3,2,1,2,1,2,,16,,2,1,1,,
96,G,,2,3,,986,9,,8,11:00,14:50,1,8,1,1,2,1,2,,16,,3,2,2,,
96,G,,2,3,,986,9,,8,14:30,14:50,3,3,2,1,2,2,1,,16,,2,1,3,,
96,G,,2,3,,986,9,,8,10:00,14:50,3,3,2,1,1,1,1,,16,,2,1,1,,
96,G,,2,3,,986,9,,8,12:45,14:50,3,3,2,1,2,1,2,,16,,2,1,0,,
96,G,,2,3,,986,9,,8,12:13,14:50,1,3,1,1,2,1,2,,16,,4,2,0,,
96,G,,2,3,,986,9,,8,11:40,14:50,1,3,2,1,0,1,0,,16,,4,2,3,,
96,G,,2,3,,986,9,,8,N,14:50,1,5,1,1,2,1,2,,16,,4,1,2,,
96,G,,2,3,,986,9,,8,11:30,14:50,1,9,1,1,2,1,2,,16,,4,2,1,,
96,G,,2,3,,986,9,,8,12:00,14:50,8,3,1,1,2,1,2,,16,,4,1,0,,
96,G,,2,3,,986,9,,8,12:00,14:50,2,3,1,1,2,1,2,,16,,4,1,2,,
96,G,,2,3,,986,9,,8,N,14:50,1,2,1,0,2,0,2,,16,,3,1,1,,
100,G,,2,33,,889,9,,8,10:30,12:02,1,8,1,1,2,2,1,,16,,4,1,2,,
100,G,,2,33,,889,9,,8,8:30,12:02,2,3,1,1,2,2,2,,16,,4,1,0,,
100,G,,2,33,,889,9,,8,0:00,12:02,2,3,1,2,1,2,1,,16,,2,2,1,,
44,C,,2,15,,4683,50,,1,15:20,16:50,3,9,1,2,2,2,2,,16,,3,1,1,,
31,B,,2,28,,2384,81,,1,12:30,14:15,2,4,1,2,2,2,2,,16,,5,1,2,,
79,F,,3,32,,6374,46,,1,8:30,18:17,2,3,1,1,2,1,2,,16,,3,2,0,,
96,G,,3,33,,429,52,,4,21:30,23:21,2,2,1,1,2,2,2,,16,,4,2,4,,
91,G,,2,33,,821,52,,4,11:00,12:40,1,4,1,1,2,0,2,,16,,3,1,4,,
90,F,,3,32,,1693,50,,1,16:00,20:20,1,2,1,1,2,1,2,,16,,3,1,0,,
91,G,,2,33,,821,52,,4,8:30,12:40,1,3,1,0,1,1,1,,16,,3,2,1,,
91,G,,2,33,,821,52,,4,N,12:40,1,3,1,2,1,2,2,,16,,5,2,1,,
91,G,,2,33,,821,52,,4,N,12:40,1,2,1,1,2,0,0,,16,,4,1,1,,
73,F,,3,32,,343,39,,3,11:00,18:29,5,3,2,1,1,2,2,,14,,4,1,4,,
45,C,,1,15,,2200,4,,2,4:15,6:05,1,9,1,2,2,1,2,,14,,6,1,4,,
43,C,,3,18,,662,25,,1,17:00,19:05,3,2,0,1,2,1,2,,14,,2,2,1,,
2,A,,1,31,,565,83,,5,4:30,6:50,2,2,1,1,2,1,2,,14,,6,2,2,,
2,A,,1,31,,565,83,,5,4:30,6:50,2,2,1,2,2,1,2,,14,,7,1,2,,
101,G,,2,25,,455,32,,6,12:15,14:45,1,3,2,2,2,2,2,,15,,3,1,1,,
101,G,,2,25,,455,32,,6,12:15,14:45,5,3,2,2,2,2,2,,15,,3,1,2,,
4,A,,3,12,,286,48,,6,N,18:55,3,3,1,0,2,0,2,,15,,6,1,1,,
101,G,,2,25,,455,32,,6,11:45,14:45,2,2,1,2,2,2,2,,15,,6,1,2,,
