name,code,gate,flightID,loadFactor,seats,count,arrival,departure,delta.arrival,color
"Delta Air Lines to Atlanta, Airbus A330-300","DL","C8","5d443531-7c3c-4f32-bf4f-36f9b22e1e98","1","293","296","0.43194444444444446","0.4930555555555556","0.061111111111111116","null"
"Delta Air Lines to Atlanta, Airbus A330-300","DL","C5","b5c96108-8b37-46a6-a0d1-151afcb3449a","1","293","296","0.2777777777777778","0.3125","0.03472222222222221","null"
"Delta Air Lines to Atlanta, Boeing 737-800","DL","C2","9d886e9f-3833-4b51-9ffc-de442f3e0f5f","1","160","141","0.21875","0.25","0.03125","null"
"Delta Air Lines to New York, Boeing 737-800","DL","C2","cdbdeb2a-d25e-4a77-8835-f71d63462d9c","1","160","156","0.25763888888888886","0.3333333333333333","0.07569444444444445","null"
"Delta Air Lines to Salt Lake City, Boeing 737-800","DL","C1","82583b61-f468-4a07-b7ae-09ff4c74ffb6","1","160","174","0.34722222222222227","0.37847222222222227","0.03125","null"
"Delta Air Lines to New York, Boeing 737-800","DL","C3","099878f5-075c-4ae3-b49a-8a6412bbee32","1","160","170","0.4340277777777778","0.4791666666666667","0.045138888888888895","null"
"Delta Air Lines to Detroit, Boeing 737-800","DL","C7a","a63b804c-6933-4bfe-8d44-3fe718ca7a91","1","160","142","0.4513888888888889","0.5659722222222222","0.11458333333333331","null"
"Delta Air Lines to Atlanta, Boeing 737-800","DL","C5","f3cdfaf2-0239-457b-95fd-f34db37b0755","1","160","155","0.4923611111111111","0.6006944444444444","0.10833333333333334","null"
"Delta Air Lines to New York, Boeing 737-800","DL","C9","d82aed45-228d-42a9-aefd-5433f024a8ba","1","160","161","0.5590277777777777","0.6666666666666666","0.10763888888888895","null"
"Delta Air Lines to Minneapolis, Boeing 737-800","DL","C10","330e71ea-c9a1-44ef-b3bf-18a1fcb13dee","1","160","147","0.7152777777777778","0.7465277777777778","0.03125","null"
"Delta Air Lines to Minneapolis, Boeing 737-800","DL","C10","58f7f0ac-0c18-45be-b63a-05fc7ba59994","1","160","168","0.5902777777777778","0.625","0.03472222222222221","null"
